CensusNo|Name|Address|Telephone|Province|District|Zone|Division
00001|DE LA SALLE COLLEGE|MODARA,COL-15.|0112522125|1. Western|Colombo|Colombo|Colombo - North
00002|MODARA ANANDA M.M.V.|MODARA,COL-15.|0112523245|1. Western|Colombo|Colombo|Colombo - North
00003|ST.ANTHONY'S B.M.V.|262,MUTWAL,COL-15.|0112527128|1. Western|Colombo|Colombo|Colombo - North
00004|KUMARA V.|KOTAHENA,COL-13.|0112385846|1. Western|Colombo|Colombo|Colombo - North
00005|MATTAKKULIYA ST.JOHN'S M.V.|64,CENTRE RD,COL-15.|0112540493|1. Western|Colombo|Colombo|Colombo - North
00006|ST.LUCIA'S COLLEGE|KOTAHENA,COL-13.|0112452121|1. Western|Colombo|Colombo|Colombo - North
00008|KOTAHENA PRESIDENT COLLEGE|ALWIS RD,COL-13.|0112331182|1. Western|Colombo|Colombo|Colombo - North
00009|ST.ANDREW'S V.|LUNUPOKUNA,MODARA,COL-15.|0112521342|1. Western|Colombo|Colombo|Colombo - North
00010|MODARA SRI MEDHANANDA V.|ST.JAMES ST,MODARA,COL-15.|0112527141|1. Western|Colombo|Colombo|Colombo - North
00011|ST.JOHN'S V.|MODARA ST,COL-15.||1. Western|Colombo|Colombo|Colombo - North
00012|AVE MARIA V.|MATTAKKULIYA,COL-15.|0112522090|1. Western|Colombo|Colombo|Colombo - North
00013|SRI SANGHABODHI V.|GRANDPASS,COL-14.|0112529885|1. Western|Colombo|Colombo|Colombo - North
00014|BLOEMENDHAL SIN.V.|SIRIMAVO BANDARANAYAKA MW,COL-14.|0112439429|1. Western|Colombo|Colombo|Colombo - North
00018|ROMAN CATHOLIC B.V.|WASALA RD,KOTAHENA,COL-13.|0112444170|1. Western|Colombo|Colombo|Colombo - North
00020|MAHAWATTA ST.ANTHONY'S SIN V.|JAYANTHA MALLIMARACHCHI MW,MAHAWATTA,COL-14.|0112524550|1. Western|Colombo|Colombo|Colombo - North
00022|AGAMETHI V.|BLOEMENDHAL RD,COL-15.|0112520211|1. Western|Colombo|Colombo|Colombo - North
00023|KOTAHENA CENTRAL COLLEGE|MAHA VIDYALA MAWATHA,COL-13|0112324275|1. Western|Colombo|Colombo|Colombo - Central
00024|SRI SANGARAJA M.M.V.|SRI SANGARAJA MW,COL-10.|0112438094|1. Western|Colombo|Colombo|Colombo - Central
00025|MAHABODHI V.|43,FOSTER LANE,COL-10|0112694684|1. Western|Colombo|Colombo|Colombo - Central
00026|RAJASINGHE M.V.|BASELINE RD,DEMATAGODA,COL-09.|0714469248|1. Western|Colombo|Colombo|Colombo - Central
00028|SIRI SARIPUTHTHA M.V.|VITHANAGE MW,COL-02.|0112304785|1. Western|Colombo|Colombo|Colombo - Central
00029|VIJAYABA M.V.|STACE RD,COL-14.|0112348843|1. Western|Colombo|Colombo|Colombo - Central
00030|ST.JOSEPH'S B.M.V.|GRANDPASS,COL-14.|0112327240|1. Western|Colombo|Colombo|Colombo - Central
00031|ST.JOSEPH'S BOYS V.|GRANDPASS,COL-14|0112337560|1. Western|Colombo|Colombo|Colombo - Central
00032|WOLFENDHAL B.M.V.|NO.02,VIVEKANANDA HILL,COL-13.|0112431921|1. Western|Colombo|Colombo|Colombo - Central
00033|ST.ANTHONY'S B.M.V.|DEMATAGODA,COL-09.|0112685640|1. Western|Colombo|Colombo|Colombo - Central
00034|CLIFTON B.M.V.|MALIGAKANDA RD,COL-10.|0112694489|1. Western|Colombo|Colombo|Colombo - Central
00035|HOLY ROSARY R.C.SIN.V.|56,CHURCH ST,COL-02.|0777032552|1. Western|Colombo|Colombo|Colombo - Central
00036|VIHARAMAHADEVI B.M.V.|DEENS RD,MARADANA,COL-10.|0112699375|1. Western|Colombo|Colombo|Colombo - Central
00037|HEMAMALI B.M.V.|34,SRI SADDHARMA MW,COL-10.|0112687629|1. Western|Colombo|Colombo|Colombo - Central
00038|ST.MARY'S V.|VIVEKANANDA HILL,COL-13.||1. Western|Colombo|Colombo|Colombo - Central
00040|JAYANTHI V.|SWARNA CHAITHYA RD,COL-14.|0112439966|1. Western|Colombo|Colombo|Colombo - Central
00042|A.E.GUNASINGHA V.|COL-12.||1. Western|Colombo|Colombo|Colombo - Central
00044|SIR BARON JAYATHILAKA V.|MALIGAWATTA,COL-10.|0112336753|1. Western|Colombo|Colombo|Colombo - Central
00045|ROYAL COLLEGE|RAJAKEEYA MW.,COL-07|0112961029|1. Western|Colombo|Colombo|Borella
00046|ANANDA COLLEGE|COL-10|0112695503|1. Western|Colombo|Colombo|Borella
00047|NALANDA COLLEGE|COLOMBO-10|0112695227|1. Western|Colombo|Colombo|Borella
