CensusNo|Name|Address|Telephone|Province|District|Zone|Division
00001|DE LA SALLE COLLEGE|MODARA,COL-15.|0112522125|Western|Colombo|Colombo|Colombo - North
00002|MODARA ANANDA M.M.V.|MODARA,COL-15.|0112523245|Western|Colombo|Colombo|Colombo - North
00003|ST.ANTHONY'S B.M.V.|262,MUTWAL,COL-15.|0112527128|Western|Colombo|Colombo|Colombo - North
00004|KUMARA V.|KOTAHENA,COL-13.|0112385846|Western|Colombo|Colombo|Colombo - North
00005|MATTAKKULIYA ST.JOHN'S M.V.|64,CENTRE RD,COL-15.|0112540493|Western|Colombo|Colombo|Colombo - North
00006|ST.LUCIA'S COLLEGE|KOTAHENA,COL-13.|0112452121|Western|Colombo|Colombo|Colombo - North
00008|KOTAHENA PRESIDENT COLLEGE|ALWIS RD,COL-13.|0112331182|Western|Colombo|Colombo|Colombo - North
00009|ST.ANDREW'S V.|LUNUPOKUNA,MODARA,COL-15.|0112521342|Western|Colombo|Colombo|Colombo - North
00010|MODARA SRI MEDHANANDA V.|ST.JAMES ST,MODARA,COL-15.|0112527141|Western|Colombo|Colombo|Colombo - North
00011|ST.JOHN'S V.|MODARA ST,COL-15.||Western|Colombo|Colombo|Colombo - North
00012|AVE MARIA V.|MATTAKKULIYA,COL-15.|0112522090|Western|Colombo|Colombo|Colombo - North
00013|SRI SANGHABODHI V.|GRANDPASS,COL-14.|0112529885|Western|Colombo|Colombo|Colombo - North
00014|BLOEMENDHAL SIN.V.|SIRIMAVO BANDARANAYAKA MW,COL-14.|0112439429|Western|Colombo|Colombo|Colombo - North
00018|ROMAN CATHOLIC B.V.|WASALA RD,KOTAHENA,COL-13.|0112444170|Western|Colombo|Colombo|Colombo - North
00020|MAHAWATTA ST.ANTHONY'S SIN V.|JAYANTHA MALLIMARACHCHI MW,MAHAWATTA,COL-14.|0112524550|Western|Colombo|Colombo|Colombo - North
00022|AGAMETHI V.|BLOEMENDHAL RD,COL-15.|0112520211|Western|Colombo|Colombo|Colombo - North
00023|KOTAHENA CENTRAL COLLEGE|MAHA VIDYALA MAWATHA,COL-13|0112324275|Western|Colombo|Colombo|Colombo - Central
00024|SRI SANGARAJA M.M.V.|SRI SANGARAJA MW,COL-10.|0112438094|Western|Colombo|Colombo|Colombo - Central
00025|MAHABODHI V.|43,FOSTER LANE,COL-10|0112694684|Western|Colombo|Colombo|Colombo - Central
00026|RAJASINGHE M.V.|BASELINE RD,DEMATAGODA,COL-09.|0714469248|Western|Colombo|Colombo|Colombo - Central
00028|SIRI SARIPUTHTHA M.V.|VITHANAGE MW,COL-02.|0112304785|Western|Colombo|Colombo|Colombo - Central
00029|VIJAYABA M.V.|STACE RD,COL-14.|0112348843|Western|Colombo|Colombo|Colombo - Central
00030|ST.JOSEPH'S B.M.V.|GRANDPASS,COL-14.|0112327240|Western|Colombo|Colombo|Colombo - Central
00031|ST.JOSEPH'S BOYS V.|GRANDPASS,COL-14|0112337560|Western|Colombo|Colombo|Colombo - Central
00032|WOLFENDHAL B.M.V.|NO.02,VIVEKANANDA HILL,COL-13.|0112431921|Western|Colombo|Colombo|Colombo - Central
00033|ST.ANTHONY'S B.M.V.|DEMATAGODA,COL-09.|0112685640|Western|Colombo|Colombo|Colombo - Central
00034|CLIFTON B.M.V.|MALIGAKANDA RD,COL-10.|0112694489|Western|Colombo|Colombo|Colombo - Central
00035|HOLY ROSARY R.C.SIN.V.|56,CHURCH ST,COL-02.|0777032552|Western|Colombo|Colombo|Colombo - Central
00036|VIHARAMAHADEVI B.M.V.|DEENS RD,MARADANA,COL-10.|0112699375|Western|Colombo|Colombo|Colombo - Central
00037|HEMAMALI B.M.V.|34,SRI SADDHARMA MW,COL-10.|0112687629|Western|Colombo|Colombo|Colombo - Central
00038|ST.MARY'S V.|VIVEKANANDA HILL,COL-13.||Western|Colombo|Colombo|Colombo - Central
00040|JAYANTHI V.|SWARNA CHAITHYA RD,COL-14.|0112439966|Western|Colombo|Colombo|Colombo - Central
00042|A.E.GUNASINGHA V.|COL-12.||Western|Colombo|Colombo|Colombo - Central
00044|SIR BARON JAYATHILAKA V.|MALIGAWATTA,COL-10.|0112336753|Western|Colombo|Colombo|Colombo - Central
00045|ROYAL COLLEGE|RAJAKEEYA MW.,COL-07|0112961029|Western|Colombo|Colombo|Borella
00046|ANANDA COLLEGE|COL-10|0112695503|Western|Colombo|Colombo|Borella
00047|NALANDA COLLEGE|COLOMBO-10|0112695227|Western|Colombo|Colombo|Borella
00048|THURSTAN COLLEGE|COLOMBO-07|0112695423|Western|Colombo|Colombo|Borella
00049|ST.MATHEW'S COLLEGE|DEMTAGODA,COL-09|0112698709|Western|Colombo|Colombo|Borella
00050|ANANDA B.V.|COL-10|0112695385|Western|Colombo|Colombo|Borella
00051|GOTHAMI B.V.|TEMPLE RD,COL-10.|0112691576|Western|Colombo|Colombo|Borella
00052|ST.JOHN'S COLLEGE|DEMATAGODA,COL-09|0112696951|Western|Colombo|Colombo|Borella
00053|SEEVALI M.M.V.|SEEVALI LANE,BORELLA,COL-08.|0112695884|Western|Colombo|Colombo|Borella
00054|SUSAMAYAWARDHANA M.V.|AUSTIN PLACE,BORELLA|0112694302|Western|Colombo|Colombo|Borella
00055|ANURUDDHA B.V.|BASELINE RD.,COL-09|0112694930|Western|Colombo|Colombo|Borella
00057|YASODARA B.V.|KYNSY ROAD.,COLOMBO-08|0112693985|Western|Colombo|Colombo|Borella
00058|PRESBYTERIAN B.V.|REGIENT STREET,COL-10|0112691927|Western|Colombo|Colombo|Borella
00059|RATHNAWALI B.M.V.|PARK AVENUE,COL-08|0112692544|Western|Colombo|Colombo|Borella
00060|D.S.SENANAYAKE COLLEGE|R.G.SENANAYAKE RD.,COL-07|0112698251|Western|Colombo|Colombo|Borella
00061|ALL SAINT'S B.V.|ANANDA RAJAKARUNA MW.,COL-10|0112697881|Western|Colombo|Colombo|Borella
00062|VELUWANA COLLEGE|DEMATAGODA,COL-09|0112693334|Western|Colombo|Colombo|Borella
00064|ASOKA V.|SRI VIPULASENA MW.,COL-10|0112691075|Western|Colombo|Colombo|Borella
00065|C.W.W.KANNANGARA V.|DR.DANISTER DE SILVA MW.,COL-08|0112686112|Western|Colombo|Colombo|Borella
00066|DEVI B.V.|SRI JAYAWARDENAPURA MW,COL-08.|0112691857|Western|Colombo|Colombo|Colombo - South
00068|ARETHUSA COLLEGE|25,DAYA RD,COL-06.|0112589649|Western|Colombo|Colombo|Colombo - South
00069|SRI PARAKRAMABAHU M.V.|NARAHENPITA,COL-05.|0112588652|Western|Colombo|Colombo|Colombo - South
00070|MAHAMATHYA M.V.|POLHENGODA,COL-05.|0112515383|Western|Colombo|Colombo|Colombo - South
00071|SRI SADDHARMODAYA M.V.|POORWARAMA RD,COL-05.|0112818516|Western|Colombo|Colombo|Colombo - South
00072|S.W.R.D.BANDARANAYAKE V.|GOTHAMI RD.,COL-08|0112676565|Western|Colombo|Colombo|Colombo - South
00073|VIDYATHILAKA V.|116,THIMBIRIGASYAYA,COL-05.|0112505280|Western|Colombo|Colombo|Colombo - South
00074|SIRIMAVO BANDARANAYAKE VIDYALAYA|STANMORE CRECENT,COL-07.|0112582110|Western|Colombo|Colombo|Colombo - South
00076|DUDLEY SENANAYAKA V.|PARK RD,COL-05.|0112589558|Western|Colombo|Colombo|Colombo - South
00077|ISIPATHANA COLLEGE|COL-05.|0112588526|Western|Colombo|Colombo|Colombo - South
00078|LUMBINI V.|HEVELOCK TOWN,COL-05.|0114385235|Western|Colombo|Colombo|Colombo - South
00079|MAHANAMA COLLEGE|COL-03.|0112577789|Western|Colombo|Colombo|Colombo - South
00080|ST.PAUL'S GIRL'S SCHOOL|LESTER JAMES PEIRIS MW,COL-05.|0112588221|Western|Colombo|Colombo|Colombo - South
00081|VISAKHA V.|133,VAJIRA RD,COLOMBO-05.|0112588229|Western|Colombo|Colombo|Colombo - South
